Date,Description,Amount
2025-11-01,Salary - Company XYZ,90000.0
2025-11-02,KFC,-282.0
2025-11-02,Gym Membership,-2599.0
2025-11-03,Monthly Rent - Apartment,-25000.0
2025-11-03,Intercity Train Ticket,-531.0
2025-11-04,Big Bazaar Groceries,-1602.0
2025-11-04,Laundry,-154.0
2025-11-05,Home Loan EMI,-15000.0
2025-11-05,Petrol Station,-2569.0
2025-11-06,Swiggy,-345.0
2025-11-07,Electricity Bill,-3200.0
2025-11-08,DMart Groceries,-2503.0
2025-11-08,Movie Tickets,-800.0
2025-11-09,Internet Bill,-999.0
2025-11-10,Zomato,-488.0
2025-11-11,Netflix Subscription,-299.0
2025-11-11,Spotify Subscription,-149.0
2025-11-12,Intercity Train Ticket,-649.0
2025-11-13,Cafe Coffee Day,-866.0
2025-11-13,Pharmacy,-450.0
2025-11-14,Local Supermarket,-2071.0
2025-11-14,Parking Fee,-439.0
2025-11-15,Flipkart Purchase - Clothes,-4999.0
2025-11-16,Petrol Station,-2318.0
2025-11-17,Uber Ride,-406.0
2025-11-17,Parking Fee,-417.0
2025-11-18,Swiggy,-824.0
2025-11-18,Refund - Merchant,1500.0
2025-11-19,Amazon Purchase - Electronics,-12499.0
2025-11-20,Big Bazaar Groceries,-4271.0
2025-11-20,Laundry,-668.0
2025-11-21,Myntra Purchase,-3599.0
2025-11-22,Zomato,-983.0
2025-11-23,Office Lunch Reimbursement (received),1200.0
2025-11-24,Intercity Train Ticket,-776.0
2025-11-25,Petrol Station,-2440.0
2025-11-26,Insurance Premium,-1999.0
2025-11-26,Domestic Flight Booking,-8999.0
2025-11-27,Big Bazaar Groceries,-3918.0
2025-11-28,Friend Transfer (received),3000.0
2025-11-29,Cafe - Workday,-968.0
2025-11-30,Laundry,-94.0
